"region","no_mass_media_f","read_news_weekly_f","watch_tele_weekly_f","listen_radio_weekly_f","all_f","number_f","no_mass_media_m","read_news_weekly_m","watch_tele_weekly_m","listen_radio_weekly_m","all_m","number_m"
"Dodoma",55.6,12.7,10.2,40.6,4.8,355,35,16.4,18.6,59.3,7.1,96
"Arusha",58,15.6,7.9,39.9,4.5,589,41.5,28.7,19.1,57.4,16,156
"KiIimanjaro",33.6,13.2,9.2,64.4,4.6,390,24.6,21,15.9,72.3,8.7,119
"Tanga",61.6,5,8.8,36.2,2,464,41.3,14.7,13.3,57.3,10.7,108
"Morogoro",62.9,10.9,5.8,36.6,3.4,408,45.5,18.2,14,50.3,5.6,95
"Coast",33.9,18.1,6.5,65,2.5,159,12.9,22.6,29,82.3,9.7,45
"Dares Salaam",8,58.6,44.1,88.4,32.5,646,2,79.6,65.8,93.1,55.9,191
"Lindi",49.7,8.2,4.4,48.1,1.6,187,14.1,19.7,2.8,85.9,1.4,54
"Mtwara",70.1,2.3,3.4,27.7,0.7,355,14.9,13.9,1,84.2,0,96
"Ruvuma",57.3,4.5,2.8,41.4,1.1,305,27.5,24.5,2,72.5,1,82
"Iringa",70.7,4.9,2.6,28.8,0.8,466,48.2,12.4,2.9,48.9,1.5,100
"Mbeya",54.1,12.4,1.6,42.4,1,473,31.9,25,6.9,66.7,5.6,137
"Singlda",65.2,9.9,3.8,31.5,1.3,283,35.7,16.7,11.9,60.7,3.6,80
"Tabora",57.1,9.1,7.6,40.9,3.5,225,25.9,33.3,11.1,72.2,7.4,82
"Rukwa",73.4,5.1,3.4,24.9,1.4,242,50,12.8,11.5,48.7,10.3,71
"Kigoma",58.9,4.6,2.5,40.3,0.5,351,24.3,14.3,5.7,72.9,1.4,95
"Shmyanga",69.1,9.1,4,29.6,2.9,686,47,21.3,9.1,52.4,8.5,202
"Kagera",51.4,7.7,5.6,45.1,1.1,467,23.2,20.3,17.4,73.9,10.1,139
"Mwartza",67.7,8.1,1.6,31.9,1,573,26.9,17.9,14.1,70.5,9,176
"Mara",59.6,8.7,0.4,39.7,0.4,257,23.6,25.5,18.2,69.1,7.3,64
